pid,color,size,dim
2247,3,1,1
8094,26,0,1
1755,1,1,1
5448,2,2,0
9501,9,0,0
4052,17,3,2
1828,1,2,0
6150,13,1,0
8895,1,2,0
2858,28,0,0
3392,1,2,0
9977,1,2,4
2611,10,2,0
9436,27,1,1
4342,0,0,0
8529,12,2,0
4719,6,2,1
8944,1,1,1
9229,1,1,1
5509,1,2,0
8857,20,5,3
4312,5,1,1
3578,3,1,2
3136,3,1,2
6700,2,2,0
5187,7,2,0
4982,1,1,0
9650,11,0,2
8755,1,2,0
8228,1,2,0
8922,3,2,0
2976,0,0,0
3391,8,0,1
6132,18,1,0
5664,6,2,0
7813,6,0,0
5698,8,0,0
8892,0,0,0
2597,2,3,0
2000,5,1,1
3501,0,0,0
7995,1,1,1
8978,0,0,0
1115,0,0,0
