StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3.2,Q4.2,Q5.2,Q6.2,Q7.2,Q8.2,Q9.2,Q10.2,Q11.2,Q12.2,Q13.2,Q14.2,Q15.2,Q16.2,Q17.2,Q18.2,Q19.2,Q20.2,Q21.2,Q22.2,Q23.2,Q24.2,Q25.2,Q26.2,Q27.2,Q28.2,Q29.2,Q30.2,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the...,Pass me the..,Pass me the...,Pass me the..,Pass me the..,Pass me the..,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""Random ID""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22 12:49:00,2020-01-22 12:51:32,IP Address,98.232.238.129,100,151,True,2020-01-22 12:51:32,R_20ZGX89zdSLpZo9,,,,,44.5928039550781,-123.274597167969,anonymous,EN,screwdriver,water bottle,mug,yellow block,small block,short block,mug,bottom block,red block,screwdriver,scissors,mug,screwdriver,pen,red block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,2247
2020-01-22 12:48:42,2020-01-22 12:51:35,IP Address,49.37.192.11,100,172,True,2020-01-22 12:51:36,R_2RUQD2ChOki3tfB,,,,,12.9721069335938,77.5932922363281,anonymous,EN,blue screwdriwer,cup,red cup,yellow box,red box,red box,red cup,red cube,red box,blue screwdriver,blue scissors,red cup,blue screwdriver,red pen,red box,purple cup,grey flask,red screwdriver,red pen,red cube,red screwdriver,red flask,red cube,red cup,long screwdriwer,red pen,red box,red scissors,8094
2020-01-22 12:49:26,2020-01-22 12:52:41,IP Address,76.18.212.179,100,195,True,2020-01-22 12:52:42,R_yWSJzJpR4UTkefT,,,,,30.0821990966797,-81.5497970581055,anonymous,EN,screwdriver,water bottle,cup,yellow cube,smallest cube,shortest rectangle,mug,bottom cube,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,waterbottle,screwdriver,pen,block,screwdriver,waterbottle,block,mug,screwdriver,pen,block,scissors,1755
2020-01-22 12:49:44,2020-01-22 12:52:52,IP Address,68.8.163.160,100,188,True,2020-01-22 12:52:52,R_2S6rn14jY7vz8D3,,,,,32.7637939453125,-117.069999694824,anonymous,EN,screwdriver,water bottle,cup,yellow block,small block,small block,red cup,bottom block,wood,screwdriver,scissors,cup,screwdriver,pen,wood,cup,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,cup,screwdriver,pen,block,scissors,5448
2020-01-22 12:49:40,2020-01-22 12:53:32,IP Address,1.22.108.16,100,232,True,2020-01-22 12:53:33,R_1poGRvOrvufwhGt,,,,,19.0747985839844,72.8856048583984,anonymous,EN,screw driver,water bottle,cup,yellow cube,red cube,blocks,mug,block,red block,screwdriver,scissor,red mug,screwdriver,pen,red block,purple mug,water bottle,screwdriver,pen,red block ,screwdriver,water bottle,red cube,mug,screwdriver,pen,red block,scissor,9501
2020-01-22 12:49:21,2020-01-22 12:53:32,IP Address,67.169.209.224,100,251,True,2020-01-22 12:53:33,R_2uDo1tbYfzEuxB7,,,,,44.5928039550781,-123.274597167969,anonymous,EN,Screwdriver,Coffee cup,Coffee mug,Yellow cube,Small red cube,Small red block,Red coffee mug,Red cube,Red block,Purple screwdriver,Blue scissors,Coffee mug,Screwdriver,Red pen,Red block,Coffee mug,Thermos,Red screwdriver,Red pen,Red cube,Red screwdriver,Red thermos,Red cube,Coffee mug,Long screwdriver,Small pen,Red cube,Long scissors,4052
2020-01-22 12:48:31,2020-01-22 12:53:41,IP Address,69.14.38.20,100,310,True,2020-01-22 12:53:42,R_12tBNnMV218Vvsx,,,,,42.66259765625,-83.1837005615234,anonymous,EN,screw driver,water bottle,cup,yellow block,smallest block,small block,cup,bottom block,block,screw driver,scissors,cup,screw driver,pen,block,cup,water bottle,screw driver,pen,block,screw driver,water bottle,block,cup,screw driver,pen,block,scissors ,1828
2020-01-22 12:50:13,2020-01-22 12:53:50,IP Address,184.90.1.43,100,216,True,2020-01-22 12:53:50,R_1K1N7pa4XLU7jIr,,,,,29.2866058349609,-81.0868988037109,anonymous,EN,screwdriver,water bottle,red mug,yellow cube,small red cube,rectangle wood,red mug,block,red wood,blue screwdriver,blue scissors,red mug,blue screwdriver,red pen,red wood,purple mug,white water bottle,screwdriver,pen,wooden cube,screwdriver,water bottle,wooden cube,mug,screwdriver,pen,wood cube,scissors,6150
2020-01-22 12:49:25,2020-01-22 12:53:59,IP Address,173.188.135.40,100,273,True,2020-01-22 12:53:59,R_9FGd11iFucPLzUd,,,,,35.0599060058594,-80.6976013183594,anonymous,EN,ratchet,water bottle,mug,yellow box,smallest box,smallest block,mug,box at the bottom,box,screwdriver,scissors,mug,screwdriver,pen,box,mug,water bottle,screwdriver,pen,box,screwdriver,water bottle,box,mug,screwdriver,pen,box,scissors,8895
2020-01-22 12:48:23,2020-01-22 12:54:21,IP Address,98.121.32.139,100,358,True,2020-01-22 12:54:21,R_1Ns6WiaSz6EmpIF,,,,,35.8639068603516,-78.5350036621094,anonymous,EN,blue screwdriver,red can,red mug,yellow square,tiny red square,red brick,red mug,red square,red rectangle,blue screwdriver,red scissor,red mug,blue screwdriver,red pen,red rectangle,purple mug,grey jug,red screwdriver,red pen,red square,red screwdriver,red can,red square,red mug,red screwdriver,red pen,red square,red scisoors,2858
2020-01-22 12:50:35,2020-01-22 12:55:27,IP Address,24.116.21.131,100,292,True,2020-01-22 12:55:28,R_1JEmm7ZxXvNYA9X,,,,,34.1602020263672,-97.181396484375,anonymous,EN,screwdriver,water bottle,cup,yellow block,smallest block,small block,cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,cup,screwdriver,pen,block,scissors,3392
2020-01-22 12:50:08,2020-01-22 12:56:33,IP Address,75.70.44.41,100,385,True,2020-01-22 12:56:34,R_D7haxjQAfUr6jEB,,,,,39.8675994873047,-104.972801208496,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,shortest block,mug,closest block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle`,screwdriver,pen,block,screwdriver,water bottle,block,mug,long screwdriver,short pen,small block,long scissors,9977
2020-01-22 13:01:43,2020-01-22 13:04:54,IP Address,100.36.133.136,100,190,True,2020-01-22 13:04:54,R_QmqUtDq3l4WtDAl,,,,,38.8173065185547,-77.2904968261719,anonymous,EN,screwdriver,bottle,mug,yellow cube,red cube,small red block,mug,red cube at the bottom,red block,screwdriver,scissors,mug,screwdriver,pen,red block,purple mug,bottle,screwdriver,pen,red cube,screwdriver,bottle,red cube,mug,screwdriver,pen,small red block,scissors,2611
2020-01-22 12:58:48,2020-01-22 13:05:35,IP Address,176.249.223.74,100,407,True,2020-01-22 13:05:36,R_3n0B7njraKgY5i4,,,,,53.5335998535156,-1.10459899902344,anonymous,EN,blue handled screwdirver,red water bottle,red mug,yellow cube block,smallest red cube,shortest piece of wood,red mug,bottom red cube,red block,blue handled screwdirver,blue scissors ,red mug,blue handled screwdiver,red pen,red rectangle block,purple mug,white waterbottle,red handled screwdriver,red pen,red cube block,red handled screwdriver,red waterbottle,red block,red mug,red screwdriver,red pen,red block,red scissors ,9436
2020-01-22 12:59:54,2020-01-22 13:07:12,IP Address,171.49.183.158,100,438,True,2020-01-22 13:07:12,R_2bH1KZBu10TFYJ9,,,,,13.0859985351563,80.2750854492188,anonymous,EN,scissor,bottle,cup,box,box,roof,cup,box,roof,screw driver,scissor,mug,screwdriver,pen,roof,mug,bottle,screw driver,pen,block,screw driver,water bottle,block,mug,screwdriver,pen,block,scissor,4342
2020-01-22 13:04:20,2020-01-22 13:07:55,IP Address,73.235.55.57,100,215,True,2020-01-22 13:07:55,R_pN9g8q65OqCBNYt,,,,,36.8242950439453,-119.766204833984,anonymous,EN,blue screwdriver,red water bottle,red mug,yellow block,smallest red block,smallest red block,red mug,bottom red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,red screwdriver,red pen,red block,red scissors,8529
2020-01-22 13:05:17,2020-01-22 13:07:56,IP Address,98.228.157.67,100,158,True,2020-01-22 13:07:56,R_1Kxo8tb5rOGtG8N,,,,,42.2308959960938,-88.3378982543945,anonymous,EN,Screwdriver,Cup,Scissors,yellow block ,smallest block ,Red block ,Red cup ,bottommost block ,block,blue screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,red block ,red screwdriver,water bottle ,block ,cup,loing screwdriver,small pen,block,scissors,4719
2020-01-22 13:05:51,2020-01-22 13:10:03,IP Address,206.74.105.224,100,251,True,2020-01-22 13:10:03,R_OOJ2NqEycNXuFJT,,,,,34.3303985595703,-82.3367004394531,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,shortest block,mug,bottom block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,8944
2020-01-22 13:36:47,2020-01-22 13:38:32,IP Address,24.115.234.11,100,104,True,2020-01-22 13:38:32,R_3FOjxD99rt0TtKq,,,,,41.0287017822266,-74.6428985595703,anonymous,EN,screwdriver,bottle,mug,yellow block,smallest block,shortest block,mug,lowest block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,bottle,screwdriver,pen,block,screwdriver,bottle,block,mug,screwdriver,pen,block,scissors,9229
2020-01-23 18:49:42,2020-01-23 18:52:37,IP Address,73.216.216.85,100,175,True,2020-01-23 18:52:37,R_24wlcm4nseepnpu,,,,,38.0704040527344,-78.9067001342773,anonymous,EN,screwdriver,water bottle,mug,yellow one,smallest cube,smallest one,mug,bottom block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,5509
2020-01-23 18:52:19,2020-01-23 18:55:38,IP Address,24.202.91.37,100,198,True,2020-01-23 18:55:38,R_2BsuCHYyR39pauq,,,,,45.3878936767578,-71.8988037109375,anonymous,EN,screwdriver,bottle,mug,yellow block,small block,the shortest piece of wood,mug,the lowest block,the red piece of wood,blue screwdriver,blue scissors,red coffee mug,blue screwdriver,red pen,red piece of wood,purple mug,water bottle ,red screwdriver,red pen,small red block,red screwdriver,red water bottle ,small red block,red coffee mug,long red screwdriver ,the small red pen,the small red piece of wood,long red scissors,8857
2020-01-23 18:53:22,2020-01-23 18:58:39,IP Address,76.20.24.104,100,316,True,2020-01-23 18:58:40,R_3fIzhM0bjPJzxP3,,,,,38.4062957763672,-121.428695678711,anonymous,EN,screwdriver,red bottle,red cup,yellow block,smallest block,shortest block,red cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,red block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors ,4312
2020-01-23 18:54:56,2020-01-23 19:00:00,IP Address,73.157.24.178,100,304,True,2020-01-23 19:00:00,R_2ypaJhlOAoyfykC,,,,,46.99609375,-122.738098144531,anonymous,EN,blue screwdriver,red water bottle,coffee mug,yellow block,smallest block,shortest brick,coffee mug,block on the bottom,brick,screwdriver,scissors,coffee mug,screwdriver,pen,brick,coffee mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,coffee mug,screwdriver,short pen,brick,scissors,3578
2020-01-23 18:58:26,2020-01-23 19:01:55,IP Address,69.201.57.161,100,208,True,2020-01-23 19:01:55,R_12a8eVo8lQ6OLPS,,,,,43.9770965576172,-75.9093017578125,anonymous,EN,screwdriver,water bottle,mug,yellow block,small red block,block,mug,bottom red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottles,screwdriver,pen,block,screwdriver,water bottles,block,mug,long screwdriver,pen,block,long scissors,3136
2020-01-23 19:00:06,2020-01-23 19:02:52,IP Address,205.178.60.213,100,166,True,2020-01-23 19:02:53,R_2c15OB8MMGlBXfQ,,,,,41.9031982421875,-87.638298034668,anonymous,EN,screwdriver,water bottle,mug,yellow block,small block,small block,mug,red block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,6700
2020-01-23 19:01:32,2020-01-23 19:04:15,IP Address,184.57.164.219,100,162,True,2020-01-23 19:04:15,R_XWWnG9YP3EiWCKl,,,,,39.716796875,-84.1575012207031,anonymous,EN,blue screwdriver,red bottl,red cup,yellow cube,small block,small block,cup,bottom block,red log,srewdriver,blue scissors,cup,screwdriver,red pen,log,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,5187
2020-01-23 19:01:33,2020-01-23 19:07:02,IP Address,174.74.193.156,100,329,True,2020-01-23 19:07:02,R_1odPONAqEtzGgk0,,,,,33.6067962646484,-112.227897644043,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,block,mug,block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screw driver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,4982
2020-01-23 19:01:03,2020-01-23 19:08:51,IP Address,157.50.213.144,100,468,True,2020-01-23 19:08:51,R_1QttkZuOK7FuhIb,,,,,13.0859985351563,80.2750854492188,anonymous,EN,screw driver ,water container ,tea cup,yellow block,red square,rectangle block ,mug,red block,rectangle block,blue screw driver ,scissor,tea cup,blue screw driver ,red pen ,red rectangle,purple cup,white flask,screw driver,pen,cage ,screw driver ,flask,square block,tea cup,length screw driver ,red pen ,red block,length scissor,9650
2020-01-23 19:00:27,2020-01-23 19:09:21,IP Address,76.110.167.95,100,534,True,2020-01-23 19:09:21,R_0pGQADTMvrWGry9,,,,,26.5991058349609,-80.1284027099609,anonymous,EN,screwdriver,bottle,cup,yellow block,smallest block,small piece of wood,cup,block on the bottom,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,8755
2020-01-23 19:01:28,2020-01-23 19:09:29,IP Address,147.135.11.113,100,481,True,2020-01-23 19:09:29,R_28RJv5d843OWnXt,,,,,38.9609069824219,-77.342903137207,anonymous,EN,screwdriver,bottle,cup,yellow block,smallest block,smallest block,cup,bottom block,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,8228
2020-01-23 19:08:28,2020-01-23 19:11:21,IP Address,108.64.75.194,100,172,True,2020-01-23 19:11:21,R_1jiFBGlD9TGCvzH,,,,,38.0662994384766,-122.165496826172,anonymous,EN,screwdriver,thermos,mug,yellow block,small red cube,small brick,red mug,bottom block,brick,screwdriver,scissors,mug,screwdriver,pen,brick,mug,thermos,screwdriver,pen,cube,screwdriver,thermos,cube,mug,screwdriver,pen,brick,scissors,8922
2020-01-23 19:11:07,2020-01-23 19:13:19,IP Address,162.204.57.19,100,131,True,2020-01-23 19:13:20,R_1oBBqjvoyUebOjM,,,,,42.0807037353516,-88.5169982910156,anonymous,EN,screw driver,bottle,cup,cube,square,block,cup,block,block,screwdriver,scissor,cup,screwdriver,pen,block,cup,bottle,screwdriver,pen,block,screwdriver,bottle,block,cup,screwdriver,pen,block,scissors,2976
2020-01-23 19:06:33,2020-01-23 19:14:03,IP Address,103.143.108.199,100,449,True,2020-01-23 19:14:03,R_rjti4bOFv1KmraV,,,,,11.1076049804688,77.3564147949219,anonymous,EN,serewdriver,water battle,tea cap,yellow box,square block ,red rectangle ,tea cup,cage block,rectangle block,blue screw driver,hand scissor ,mugs,blue screw driver ,red pen ,red rectangle box,tea cup,white can ,driver tool,ball point pen,box,screw tool,milk can,box,tea cup,lengthy tool,pen,red box,scissor handle,3391
2020-01-23 19:09:02,2020-01-23 19:15:34,IP Address,174.236.134.174,100,391,True,2020-01-23 19:15:34,R_3eblYu85PJMAYcW,,,,,35.6100006103516,-89.2623977661133,anonymous,EN,screwdriver,water bottle,mug,yellow block,smallest block,pass me the block of wood in the top left,red mug,block in the front,red block of wood,blue screwdriver,blue sissors,red mug,blue screwdriver,red pen,red block of wood,purple mug,grey water bottle,red screwdriver,red pen,red block,red screwdriver,red water bottle,red block,red mug,screwdriver,pen,block of wood,sissors,6132
2020-01-23 19:10:57,2020-01-23 19:15:59,IP Address,73.169.119.154,100,301,True,2020-01-23 19:15:59,R_3M08YjXfFpd1JLs,,,,,39.5883941650391,-105.077598571777,anonymous,EN,screwdriver,water bottole,cup,yellow cube,small cube,small box,mug,bottom red cube,red block,screwdriver,scissors,mug,screwdriver,pen,red block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,red box,mug,screwdriver,pen,red square,screwdriver,5664
2020-01-23 19:11:06,2020-01-23 19:18:31,IP Address,185.252.169.98,100,445,True,2020-01-23 19:18:31,R_xbwPG977JLdzPVL,,,,,37.7751007080078,-122.419296264648,anonymous,EN,screw drive,water bottle,mugs,yellow squre,iam not sure,wood pcs,mugs,squre,blocks,blue screw drivers,blue seccoirs,mugs,screw drivers,pen,red blocks,purple mugs,white water bottle,screw drivers,pens,blocks,screw drivers,water bottles,blocks,mugs,screw driver,pen,blocks,sessoir,7813
2020-01-23 19:19:21,2020-01-23 19:23:32,IP Address,171.49.199.4,100,250,True,2020-01-23 19:23:32,R_1NqzxaWbkoth878,,,,,13.0859985351563,80.2750854492188,anonymous,EN,screw driver,flask,cup,radium green cube,red cube,red rectangle,mug,red cube,red rectangle,screw drivers,scissors,coffeemug,screw driver,pen,red rectangle,coffee mug,water bottle,screw driver,pen,red cube,screw driver,water bottle,red cube,coffee mug,screw driver,pen,rectangle,scissors,5698
2020-01-23 19:19:37,2020-01-23 19:27:00,IP Address,175.101.144.31,100,442,True,2020-01-23 19:27:00,R_2qmDqxtRs1e6EVA,,,,,16.9604034423828,82.2380981445312,anonymous,EN,Screwdriver,Bottel,Cup,square,square,rectangle,Cup,box,rectangle,screwdriver,scissor,cup,screwdriver,pen,rectangle,cup,bottel,scewdriver,pen,square,screwdriver,bottel,square,cup,screwdriver,pen,square,scissor,8892
2020-01-23 19:25:20,2020-01-23 19:30:06,IP Address,187.15.250.102,100,285,True,2020-01-23 19:30:06,R_25RcOgWYihA4jQK,,,,,-22.9201049804688,-43.3307037353516,anonymous,EN, screwdrivers,water bottles,mugs, block, red block, block,mugs, red block, block,screwdrivers,scissor,mug,screwdriver,pen, block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,big screwdrivers,small pen,block,big scissor,2597
2020-01-23 19:34:20,2020-01-23 19:38:13,IP Address,67.245.78.185,100,233,True,2020-01-23 19:38:14,R_27CN2JJSvNzoYYa,,,,,40.7015075683594,-73.8422012329102,anonymous,EN,block,scissors,cup,yellow block,smallest red block,shortest red block at the top,red cup,red block at the bottom,block,screwdriver,scissors,cup,screwdriver,pen,block,cup,bottle,screw driver,pen,block,screwdriver,bottle,block,cup,screw driver,pen,block,scissors,2000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22 12:50:05,2020-01-22 12:55:10,IP Address,35.136.105.139,98,304,False,2020-01-24 12:55:11,R_3JLsFYXadOIK6Q5,,,,,,,anonymous,EN,screwdriver,water bottle,mug,block,block,block,mug,block,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,block,mug,screwdriver,pen,block,scissors,3501
2020-01-22 12:54:15,2020-01-22 12:58:06,IP Address,144.92.38.238,98,230,False,2020-01-24 12:58:18,R_2CEqYA0HqyytiAC,,,,,,,anonymous,EN,screwdriver,water bottle,mug,yellow block,small cube,short block,mug,bottom cube,block,screwdriver,scissors,mug,screwdriver,pen,block,mug,water bottle,screwdriver,pen,block,screwdriver,water bottle,cube,mug,screwdriver,pen,block,scissors,7995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23 19:13:39,2020-01-23 19:14:01,IP Address,47.39.22.254,3,21,False,2020-01-25 19:14:07,R_1H2kaJTkFpHr8Ho,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8978
