pid,color,size,dim
8247,3,0,2
5775,8,2,4
4221,4,3,7
3437,8,1,7
9052,4,2,6
2520,7,1,5
4668,8,0,7
7579,0,0,8
7891,4,0,0
4708,0,0,2
2328,6,0,8
7298,8,0,4
9373,8,2,6
5970,7,0,8
5941,4,2,5
4925,8,2,6
7977,8,2,3
6041,3,0,4
5244,8,3,4
1460,8,2,8
1898,4,2,6
8882,5,2,4
1506,1,0,4
5221,8,3,8
2132,7,3,4
6610,8,0,7
6795,8,2,8
5955,8,1,2
4232,7,1,8
5479,8,2,6
4805,8,2,4
1823,0,2,4
4711,8,2,8
1483,8,2,4
6670,8,2,4
1271,8,2,8
5238,8,0,4
6996,7,2,5
7356,8,2,7
9026,0,0,4
4267,6,2,6
7107,4,0,0
5288,8,2,8
1179,8,1,2
3035,4,2,8
5228,8,0,5
6628,0,0,2
4686,6,2,4
