pid,used_color,used_size,used_dim
0,8247,1,0,0
1,8247,0,0,1
2,8247,0,0,0
3,8247,0,0,0
4,8247,0,0,0
5,8247,1,0,1
6,8247,0,0,0
7,8247,0,0,0
8,8247,1,0,0
9,5775,1,0,0
10,5775,1,0,0
11,5775,1,0,1
12,5775,1,0,1
13,5775,0,0,0
14,5775,1,1,0
15,5775,1,1,0
16,5775,1,0,1
17,5775,1,0,1
18,4221,0,0,1
19,4221,1,0,1
20,4221,0,0,1
21,4221,1,0,1
22,4221,0,1,0
23,4221,1,1,1
24,4221,1,1,1
25,4221,0,0,0
26,4221,0,0,1
27,3437,1,0,1
28,3437,1,0,1
29,3437,1,0,1
30,3437,1,0,0
31,3437,0,0,0
32,3437,1,1,1
33,3437,1,0,1
34,3437,1,0,1
35,3437,1,0,1
36,9052,1,0,1
37,9052,1,0,1
38,9052,0,0,1
39,9052,0,0,1
40,9052,0,0,0
41,9052,1,1,0
42,9052,1,1,0
43,9052,0,0,1
44,9052,0,0,1
45,2520,1,0,0
46,2520,1,0,0
47,2520,1,0,1
48,2520,1,0,1
49,2520,0,0,0
50,2520,1,1,0
51,2520,0,0,1
52,2520,1,0,1
53,2520,1,0,1
54,4668,1,0,1
55,4668,1,0,1
56,4668,1,0,0
57,4668,1,0,1
58,4668,0,0,0
59,4668,1,0,1
60,4668,1,0,1
61,4668,1,0,1
62,4668,1,0,1
63,7579,0,0,1
64,7579,0,0,1
65,7579,0,0,1
66,7579,0,0,1
67,7579,0,0,0
68,7579,0,0,1
69,7579,0,0,1
70,7579,0,0,1
71,7579,0,0,1
72,7891,0,0,0
73,7891,1,0,0
74,7891,0,0,0
75,7891,0,0,0
76,7891,0,0,0
77,7891,1,0,0
78,7891,1,0,0
79,7891,1,0,0
80,7891,0,0,0
81,4708,0,0,0
82,4708,0,0,0
83,4708,0,0,0
84,4708,0,0,0
85,4708,0,0,0
86,4708,0,0,1
87,4708,0,0,0
88,4708,0,0,1
89,4708,0,0,0
90,2328,0,0,1
91,2328,1,0,1
92,2328,1,0,1
93,2328,1,0,1
94,2328,0,0,0
95,2328,1,0,1
96,2328,1,0,1
97,2328,1,0,1
98,2328,0,0,1
99,7298,1,0,1
100,7298,1,0,1
101,7298,1,0,0
102,7298,1,0,0
103,7298,0,0,0
104,7298,1,0,0
105,7298,1,0,1
106,7298,1,0,0
107,7298,1,0,1
108,9373,1,0,1
109,9373,1,0,1
110,9373,1,0,1
111,9373,1,0,0
112,9373,0,0,0
113,9373,1,1,1
114,9373,1,1,1
115,9373,1,0,1
116,9373,1,0,0
